"rank","player","age","team","position","games_played","games_started","minutes_per_game","field_goals_made","field_goals_attempted","field_goal_pct","three_point_made","three_point_attempted","three_point_pct","two_point_made","two_point_attempted","two_point_pct","effective_fg_pct","free_throws_made","free_throws_attempted","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","awards"
559,"Quincy Olivari",23,"LAL","PG",2,0,10,3.6,18,0.2,3.6,18,0.2,0,0,NA,0.3,0,0,NA,0,0,0,3.6,0,0,3.6,0,10.8,NA
560,"Terence Davis",27,"SAC","SG",1,0,8,0,9,0,0,4.5,0,0,4.5,0,0,0,0,NA,0,4.5,4.5,4.5,0,0,0,0,0,NA
561,"Jalen McDaniels",27,"WAS","SF",4,0,7,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,5.1,5.1,0,0,0,0,NA
562,"Riley Minix",24,"SAS","SF",1,0,7,0,5.1,0,0,5.1,0,0,0,NA,0,0,0,NA,0,10.3,10.3,0,0,0,0,0,0,NA
563,"Isaiah Stevens",24,"MIA","PG",3,0,6,0,12,0,0,6,0,0,6,0,0,0,0,NA,0,12,12,0,6,0,0,0,0,NA
564,"Terry Taylor",25,"SAC","PF",3,0,6,0,6,0,0,0,NA,0,6,0,0,0,0,NA,6,0,6,12,0,0,0,0,0,NA
565,"Jesse Edwards",24,"MIN","C",2,0,5,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,7.2,0,0,0,14.4,0,NA
566,"James Wiseman",23,"IND","C",1,0,5,14.4,28.8,0.5,0,7.2,0,14.4,21.6,0.667,0.5,14.4,14.4,1,0,7.2,7.2,0,0,0,0,0,43.2,NA
567,"Alondes Williams",25,"DET","SG",1,0,4,18,18,1,9,9,1,9,9,1,1.25,0,0,NA,0,0,0,9,0,0,0,0,45,NA
568,"Zyon Pullin",23,"MEM","SG",3,0,3,0,12,0,0,0,NA,0,12,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA
569,"Jahlil Okafor",29,"IND","C",1,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,12,12,12,0,0,0,0,0,NA
NA,"League Average",NA,"","",NA,NA,NA,NA,NA,0.467,NA,NA,0.36,NA,NA,0.545,0.543,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
